#        k    p_h_pos  p_h1_mass   p_hp_h1m   p_hp_h1m
   6.19728     6.87048e+01     1.15614e+03     6.59919e+01     1.27981e+01
   6.22183     6.82843e+01     1.15344e+03     6.61637e+01     1.39027e+01
   6.24637     6.80648e+01     1.15340e+03     6.60118e+01     1.53610e+01
   6.27091     6.79886e+01     1.15157e+03     6.59565e+01     1.36487e+01
   6.29546     6.75585e+01     1.14440e+03     6.48523e+01     9.22703e+00
   6.32000     6.73467e+01     1.13763e+03     6.52098e+01     1.28349e+01
   6.34454     6.70901e+01     1.13149e+03     6.42313e+01     6.27221e+00
   6.36909     6.69614e+01     1.12703e+03     6.40187e+01     6.89758e+00
   6.39363     6.68088e+01     1.12595e+03     6.48845e+01     1.24849e+01
   6.41818     6.64891e+01     1.12581e+03     6.43185e+01     1.04663e+01
   6.44272     6.62777e+01     1.11863e+03     6.38162e+01     8.65316e+00
   6.46726     6.61437e+01     1.11045e+03     6.34527e+01     1.27941e+01
   6.49181     6.58558e+01     1.10525e+03     6.29945e+01     1.04287e+01
   6.51635     6.56768e+01     1.10236e+03     6.31181e+01     6.99875e+00
   6.54089     6.53563e+01     1.10098e+03     6.29902e+01     7.46178e+00
   6.56544     6.52643e+01     1.09170e+03     6.30323e+01     8.65316e+00
   6.58998     6.50082e+01     1.08187e+03     6.25970e+01     9.54143e+00
   6.61453     6.45255e+01     1.07739e+03     6.19761e+01     5.98467e+00
   6.63907     6.45493e+01     1.07232e+03     6.20934e+01     1.04496e+01
   6.66361     6.43861e+01     1.07156e+03     6.18193e+01     6.43768e+00
   6.68816     6.39900e+01     1.06504e+03     6.11615e+01     6.02289e+00
   6.71270     6.38137e+01     1.06514e+03     6.12502e+01     4.52874e+00
   6.73724     6.37493e+01     1.06461e+03     6.14237e+01     9.78519e+00
   6.76179     6.34158e+01     1.06202e+03     6.08461e+01     8.52823e+00
   6.78633     6.31614e+01     1.06180e+03     6.12061e+01     8.97876e+00
   6.81087     6.29349e+01     1.05466e+03     6.06434e+01     9.71133e+00
   6.83542     6.26999e+01     1.04453e+03     6.04953e+01     8.03859e+00
   6.85996     6.24421e+01     1.03655e+03     5.99063e+01     8.37879e+00
   6.88451     6.24864e+01     1.03085e+03     5.98361e+01     8.96426e+00
   6.90905     6.20381e+01     1.02714e+03     5.96801e+01     1.05780e+01
   6.93359     6.17823e+01     1.02640e+03     5.91301e+01     8.50153e+00
   6.95814     6.16165e+01     1.02336e+03     5.95791e+01     1.09479e+01
   6.98268     6.13737e+01     1.01354e+03     5.88605e+01     7.97546e+00
   7.00722     6.12156e+01     1.00876e+03     5.93532e+01     1.09916e+01
   7.03177     6.09483e+01     1.00650e+03     5.85212e+01     1.07227e+01
   7.05631     6.07586e+01     9.98680e+02     5.84153e+01     7.49874e+00
   7.08086     6.04327e+01     9.94711e+02     5.80869e+01     6.57737e+00
   7.10540     6.02312e+01     9.93408e+02     5.77246e+01     9.89799e+00
   7.12994     5.99930e+01     9.87629e+02     5.72863e+01     6.44828e+00
   7.15449     5.99295e+01     9.82922e+02     5.69796e+01     5.62293e+00
   7.17903     5.93428e+01     9.79424e+02     5.70296e+01     6.64223e+00
   7.20357     5.94493e+01     9.75110e+02     5.73038e+01     1.02942e+01
   7.22812     5.92603e+01     9.72896e+02     5.72274e+01     8.95007e+00
   7.25266     5.89579e+01     9.69027e+02     5.65932e+01     7.39209e+00
   7.27720     5.87034e+01     9.64187e+02     5.61476e+01     6.81314e+00
   7.30175     5.86783e+01     9.61063e+02     5.63027e+01     8.73288e+00
   7.32629     5.84575e+01     9.62363e+02     5.61147e+01     6.80777e+00
   7.35084     5.81553e+01     9.56999e+02     5.59852e+01     1.20004e+01
   7.37538     5.80026e+01     9.45222e+02     5.53820e+01     5.26827e+00
   7.39992     5.77401e+01     9.41209e+02     5.54479e+01     5.24791e+00
   7.42447     5.74570e+01     9.39018e+02     5.52232e+01     5.72837e+00
   7.44901     5.73340e+01     9.38392e+02     5.53172e+01     4.36695e+00
   7.47355     5.70184e+01     9.32637e+02     5.51896e+01     7.43240e+00
   7.49810     5.69445e+01     9.22695e+02     5.46962e+01     6.35487e+00
   7.52264     5.66997e+01     9.19267e+02     5.44926e+01     6.32545e+00
   7.54719     5.66671e+01     9.13466e+02     5.43807e+01     6.64540e+00
   7.57173     5.63305e+01     9.07626e+02     5.36755e+01     6.81308e+00
   7.59627     5.60649e+01     9.05107e+02     5.37384e+01     7.18021e+00
   7.62082     5.58749e+01     8.99969e+02     5.32624e+01     5.63651e+00
   7.64536     5.56470e+01     8.95313e+02     5.34552e+01     7.08103e+00
   7.66990     5.53202e+01     8.89345e+02     5.25926e+01     3.61521e+00
   7.69445     5.52490e+01     8.85030e+02     5.27411e+01     5.72440e+00
   7.71899     5.50294e+01     8.82759e+02     5.24645e+01     4.39725e+00
   7.74354     5.48134e+01     8.82288e+02     5.27349e+01     6.92381e+00
   7.76808     5.45719e+01     8.80133e+02     5.23031e+01     3.73460e+00
   7.79262     5.43899e+01     8.76772e+02     5.22195e+01     7.34030e+00
   7.81717     5.42789e+01     8.74206e+02     5.20939e+01     7.57544e+00
   7.84171     5.40162e+01     8.67771e+02     5.17981e+01     6.99587e+00
   7.86625     5.38587e+01     8.63588e+02     5.14325e+01     3.71457e+00
   7.89080     5.35663e+01     8.58498e+02     5.10018e+01     4.90830e+00
   7.91534     5.35350e+01     8.54680e+02     5.11827e+01     7.27574e+00
   7.93988     5.31149e+01     8.49072e+02     5.09350e+01     7.91398e+00
   7.96443     5.29377e+01     8.43336e+02     5.02654e+01     4.13221e+00
   7.98897     5.27066e+01     8.43514e+02     5.04508e+01     4.16849e+00
   8.01352     5.25528e+01     8.40120e+02     5.01558e+01     6.22581e+00
   8.03806     5.22419e+01     8.36858e+02     5.01323e+01     6.29499e+00
   8.06260     5.20309e+01     8.30809e+02     4.98012e+01     5.48499e+00
   8.08715     5.18346e+01     8.24740e+02     4.94402e+01     3.91025e+00
   8.11169     5.17185e+01     8.20310e+02     4.91717e+01     5.06736e+00
   8.13623     5.14517e+01     8.14101e+02     4.91069e+01     6.36181e+00
   8.16078     5.12482e+01     8.08479e+02     4.90535e+01     3.74392e+00
   8.18532     5.11747e+01     8.06429e+02     4.88492e+01     4.84596e+00
   8.20987     5.08622e+01     8.05930e+02     4.88160e+01     5.16933e+00
   8.23441     5.06515e+01     8.03620e+02     4.83628e+01     3.77089e+00
   8.25895     5.03926e+01     8.01943e+02     4.83877e+01     6.72658e+00
   8.28350     5.02714e+01     7.99385e+02     4.83181e+01     6.67166e+00
