# ix, iy, iz, dm, h1fid, h1new, lum, uv
3 5 4 1.31212e+06 7.32258e+10 7.30788e+10 3.36459e+11 1.72825e+12
3 5 5 1.38802e+06 8.12879e+10 7.94613e+10 1.20474e+12 1.80313e+12
3 5 6 1.09591e+06 4.67724e+10 4.66469e+10 1.69207e+11 1.72583e+12
3 5 7 1.09291e+06 4.40988e+10 4.42998e+10 1.31583e+11 1.70492e+12
3 6 0 1.29372e+06 6.68568e+10 6.70846e+10 2.10027e+11 1.71074e+12
3 6 1 1.13013e+06 4.69793e+10 4.72021e+10 1.23475e+11 1.70218e+12
3 6 2 1.24477e+06 6.09072e+10 6.11328e+10 2.44255e+11 1.70629e+12
3 6 3 1.24167e+06 6.22809e+10 6.25423e+10 1.55638e+11 1.70268e+12
3 6 4 1.15269e+06 5.08764e+10 5.10320e+10 1.37686e+11 1.70979e+12
3 6 5 1.26323e+06 6.33604e+10 6.31254e+10 2.24785e+11 1.73808e+12
3 6 6 1.24009e+06 6.31248e+10 6.25566e+10 2.39486e+11 1.74158e+12
3 6 7 1.30512e+06 7.17413e+10 7.17089e+10 2.94966e+11 1.71947e+12
3 7 0 1.40877e+06 8.74843e+10 8.71768e+10 3.05389e+11 1.72755e+12
3 7 1 1.39792e+06 8.43499e+10 8.39114e+10 4.35446e+11 1.73206e+12
3 7 2 1.32553e+06 7.31182e+10 7.32739e+10 1.98966e+11 1.71539e+12
3 7 3 1.46051e+06 9.48934e+10 9.48276e+10 3.21508e+11 1.72652e+12
3 7 4 1.36392e+06 8.68093e+10 8.67316e+10 2.48191e+11 1.71921e+12
3 7 5 1.26537e+06 6.81916e+10 6.83089e+10 1.67323e+11 1.71389e+12
3 7 6 1.37345e+06 8.26687e+10 8.19104e+10 5.60496e+11 1.75237e+12
3 7 7 1.40510e+06 8.57516e+10 8.57437e+10 3.40775e+11 1.72714e+12
4 0 0 1.41567e+06 8.76149e+10 8.73723e+10 3.90455e+11 1.73695e+12
4 0 1 1.40110e+06 8.64298e+10 8.65393e+10 2.29724e+11 1.71479e+12
4 0 2 1.39639e+06 8.70550e+10 8.71954e+10 3.04561e+11 1.71262e+12
4 0 3 1.27842e+06 6.77356e+10 6.79046e+10 2.15935e+11 1.71254e+12
4 0 4 1.27246e+06 6.82965e+10 6.84228e+10 2.10794e+11 1.71031e+12
4 0 5 1.15909e+06 5.36935e+10 5.38723e+10 1.38433e+11 1.70875e+12
4 0 6 1.35494e+06 7.85828e+10 7.84980e+10 2.74619e+11 1.73049e+12
4 0 7 1.28174e+06 7.11702e+10 7.07941e+10 3.22846e+11 1.74660e+12
4 1 0 1.51253e+06 1.02557e+11 1.02007e+11 3.97904e+11 1.74235e+12
4 1 1 1.30004e+06 7.26945e+10 7.26307e+10 2.36157e+11 1.72413e+12
4 1 2 1.39523e+06 8.28854e+10 8.29204e+10 3.23487e+11 1.72345e+12
4 1 3 1.25995e+06 6.51238e+10 6.54257e+10 1.92530e+11 1.70619e+12
4 1 4 1.27379e+06 6.56667e+10 6.56786e+10 2.97621e+11 1.71203e+12
4 1 5 1.61960e+06 1.22543e+11 1.22265e+11 3.90989e+11 1.73095e+12
4 1 6 1.27088e+06 6.83056e+10 6.81858e+10 2.07835e+11 1.73690e+12
4 1 7 1.38146e+06 8.24460e+10 8.18020e+10 5.97893e+11 1.75966e+12
4 2 0 1.23436e+06 6.07154e+10 6.06770e+10 2.21113e+11 1.72775e+12
4 2 1 1.24525e+06 6.20411e+10 6.19010e+10 4.26868e+11 1.73427e+12
4 2 2 1.40146e+06 8.55423e+10 8.57776e+10 2.57965e+11 1.71587e+12
4 2 3 1.10866e+06 4.75358e+10 4.77905e+10 1.05333e+11 1.69004e+12
4 2 4 1.27822e+06 6.69193e+10 6.73140e+10 1.73564e+11 1.69774e+12
4 2 5 1.58200e+06 1.16000e+11 1.15523e+11 4.69742e+11 1.73268e+12
4 2 6 1.47563e+06 9.76129e+10 9.69401e+10 3.28814e+11 1.75180e+12
4 2 7 1.49300e+06 1.00120e+11 9.94781e+10 4.01007e+11 1.74881e+12
4 3 0 1.32258e+06 7.48977e+10 7.46727e+10 2.57452e+11 1.73407e+12
4 3 1 1.18687e+06 5.60083e+10 5.59019e+10 1.89024e+11 1.73088e+12
4 3 2 1.25172e+06 6.43508e+10 6.47624e+10 1.19874e+11 1.69657e+12
4 3 3 1.09571e+06 4.33038e+10 4.36393e+10 1.48771e+11 1.68681e+12
4 3 4 1.02607e+06 3.70584e+10 3.73177e+10 1.23638e+11 1.68981e+12
4 3 5 1.05071e+06 3.87137e+10 3.87775e+10 1.30554e+11 1.70678e+12
4 3 6 1.40476e+06 8.73508e+10 8.58399e+10 4.96615e+11 1.77822e+12
4 3 7 1.49475e+06 9.99393e+10 9.79459e+10 1.72319e+12 1.82003e+12
4 4 0 1.15898e+06 5.24150e+10 5.23311e+10 3.00702e+11 1.72048e+12
4 4 1 1.36615e+06 7.96463e+10 7.93892e+10 5.05805e+11 1.72594e+12
4 4 2 1.23698e+06 6.06149e+10 6.09108e+10 1.97790e+11 1.69914e+12
4 4 3 1.12012e+06 4.82799e+10 4.85282e+10 1.78899e+11 1.69548e+12
4 4 4 1.03508e+06 3.74848e+10 3.75395e+10 2.21496e+11 1.70407e+12
4 4 5 1.02416e+06 3.88750e+10 3.89794e+10 1.58146e+11 1.70272e+12
4 4 6 1.29679e+06 7.03804e+10 7.05448e+10 1.72829e+11 1.71267e+12
4 4 7 1.35002e+06 7.93827e+10 7.94301e+10 2.72783e+11 1.72005e+12
4 5 0 1.26557e+06 6.38515e+10 6.39277e+10 2.53471e+11 1.71423e+12
4 5 1 1.39132e+06 8.26496e+10 8.27812e+10 2.87403e+11 1.71417e+12
4 5 2 1.35294e+06 8.18831e+10 8.21005e+10 2.41704e+11 1.70128e+12
4 5 3 1.30122e+06 7.33294e+10 7.37170e+10 1.64219e+11 1.69803e+12
4 5 4 1.34718e+06 7.74444e+10 7.76517e+10 2.46673e+11 1.70432e+12
