#        k    p_h_pos  p_h1_mass   p_hp_h1m   p_hp_h1m
   0.91732     1.75028e+02     2.87606e+03     1.91067e+02     1.45515e+02
   0.92346     1.73119e+02     2.86059e+03     1.90560e+02     1.41337e+02
   0.92959     1.72673e+02     2.84154e+03     1.89007e+02     1.47523e+02
   0.93573     1.70189e+02     2.84595e+03     1.87782e+02     1.32098e+02
   0.94186     1.69730e+02     2.80635e+03     1.83896e+02     1.43429e+02
   0.94800     1.68065e+02     2.79639e+03     1.86212e+02     1.35485e+02
   0.95414     1.67890e+02     2.78552e+03     1.86024e+02     1.50206e+02
   0.96027     1.65309e+02     2.74173e+03     1.82497e+02     1.45414e+02
   0.96641     1.64020e+02     2.71353e+03     1.78720e+02     1.41445e+02
   0.97254     1.63226e+02     2.70979e+03     1.80700e+02     1.34604e+02
   0.97868     1.61882e+02     2.68915e+03     1.81203e+02     1.37666e+02
   0.98482     1.60432e+02     2.68068e+03     1.78464e+02     1.29538e+02
   0.99095     1.60342e+02     2.68795e+03     1.79473e+02     1.38902e+02
   0.99709     1.58608e+02     2.65979e+03     1.76267e+02     1.23731e+02
   1.00322     1.57631e+02     2.64372e+03     1.75362e+02     1.19885e+02
   1.00936     1.57246e+02     2.59884e+03     1.71682e+02     1.18720e+02
   1.01550     1.56810e+02     2.57623e+03     1.72924e+02     1.31179e+02
   1.02163     1.55760e+02     2.55287e+03     1.72227e+02     1.21604e+02
   1.02777     1.55088e+02     2.52871e+03     1.71192e+02     1.21553e+02
   1.03390     1.53469e+02     2.52455e+03     1.70602e+02     1.22925e+02
   1.04004     1.52448e+02     2.51084e+03     1.68891e+02     1.22406e+02
   1.04617     1.51131e+02     2.50796e+03     1.65450e+02     1.21970e+02
   1.05231     1.51023e+02     2.49483e+03     1.66736e+02     1.15913e+02
   1.05845     1.49168e+02     2.48380e+03     1.66201e+02     1.13540e+02
   1.06458     1.48992e+02     2.46891e+03     1.67699e+02     1.15053e+02
   1.07072     1.47490e+02     2.45246e+03     1.64834e+02     1.10701e+02
   1.07685     1.45898e+02     2.43426e+03     1.63800e+02     1.09135e+02
   1.08299     1.46121e+02     2.40758e+03     1.63486e+02     1.10894e+02
   1.08913     1.45331e+02     2.37949e+03     1.60369e+02     1.07200e+02
   1.09526     1.44073e+02     2.36906e+03     1.59959e+02     1.06761e+02
   1.10140     1.43904e+02     2.36124e+03     1.57840e+02     1.01346e+02
   1.10753     1.43410e+02     2.33295e+03     1.56522e+02     9.31319e+01
   1.11367     1.43060e+02     2.31590e+03     1.57181e+02     1.01178e+02
   1.11981     1.41708e+02     2.29248e+03     1.55045e+02     1.06490e+02
   1.12594     1.40878e+02     2.28806e+03     1.54099e+02     1.02656e+02
   1.13208     1.39475e+02     2.27742e+03     1.53870e+02     1.01620e+02
   1.13821     1.39411e+02     2.27565e+03     1.54696e+02     9.97101e+01
   1.14435     1.38059e+02     2.27477e+03     1.54090e+02     1.03299e+02
   1.15049     1.38390e+02     2.25778e+03     1.52919e+02     1.00015e+02
   1.15662     1.36825e+02     2.24896e+03     1.51715e+02     1.02142e+02
   1.16276     1.35952e+02     2.22219e+03     1.48980e+02     9.23049e+01
   1.16889     1.34943e+02     2.20754e+03     1.49367e+02     9.23517e+01
   1.17503     1.34424e+02     2.18900e+03     1.49946e+02     9.68055e+01
   1.18117     1.32721e+02     2.17639e+03     1.47041e+02     9.09781e+01
   1.18730     1.32903e+02     2.15038e+03     1.48746e+02     9.66416e+01
   1.19344     1.31954e+02     2.12384e+03     1.46542e+02     8.79868e+01
   1.19957     1.31757e+02     2.10956e+03     1.45942e+02     9.35020e+01
   1.20571     1.31006e+02     2.09534e+03     1.42754e+02     8.47119e+01
   1.21184     1.30128e+02     2.08566e+03     1.41883e+02     8.48603e+01
   1.21798     1.29343e+02     2.09250e+03     1.43030e+02     9.85735e+01
   1.22412     1.29079e+02     2.09078e+03     1.44092e+02     9.03867e+01
   1.23025     1.27877e+02     2.07426e+03     1.40765e+02     8.56790e+01
   1.23639     1.27778e+02     2.05681e+03     1.41057e+02     8.24741e+01
   1.24252     1.26649e+02     2.05316e+03     1.39824e+02     8.74734e+01
   1.24866     1.26064e+02     2.01851e+03     1.38142e+02     8.36829e+01
   1.25480     1.25956e+02     2.00918e+03     1.37412e+02     8.30396e+01
   1.26093     1.25064e+02     2.00451e+03     1.38012e+02     9.07879e+01
   1.26707     1.23527e+02     2.00430e+03     1.38040e+02     8.05934e+01
