# ix, iy, iz, dm, h1fid, h1new, lum, uv
3 0 6 2.13906e+06 6.62007e+12 6.61355e+12 3.83500e+13 3.52883e+13
3 0 7 2.09393e+06 6.33517e+12 6.32735e+12 3.85584e+13 3.54865e+13
3 1 0 2.15538e+06 6.74811e+12 6.73907e+12 3.60249e+13 3.58261e+13
3 1 1 2.09847e+06 6.37502e+12 6.36837e+12 3.62879e+13 3.52469e+13
3 1 2 2.06588e+06 6.11856e+12 6.11530e+12 3.08299e+13 3.46267e+13
3 1 3 2.14519e+06 6.71100e+12 6.70499e+12 3.65769e+13 3.50423e+13
3 1 4 2.08802e+06 6.29411e+12 6.29149e+12 3.34752e+13 3.43073e+13
3 1 5 2.06937e+06 6.14885e+12 6.14893e+12 3.12073e+13 3.37109e+13
3 1 6 2.04024e+06 5.93781e+12 5.93514e+12 3.28659e+13 3.44311e+13
3 1 7 2.10531e+06 6.39200e+12 6.38405e+12 3.73312e+13 3.57615e+13
3 2 0 2.06319e+06 6.11515e+12 6.10844e+12 3.52233e+13 3.53917e+13
3 2 1 2.12559e+06 6.53234e+12 6.52572e+12 3.57399e+13 3.54420e+13
3 2 2 2.11632e+06 6.53861e+12 6.52927e+12 4.04401e+13 3.58463e+13
3 2 3 2.13075e+06 6.60028e+12 6.59603e+12 3.50925e+13 3.46379e+13
3 2 4 2.00336e+06 5.66259e+12 5.66206e+12 3.10786e+13 3.40070e+13
3 2 5 2.03656e+06 5.92965e+12 5.92839e+12 3.09548e+13 3.40431e+13
3 2 6 2.01435e+06 5.75800e+12 5.75656e+12 2.96303e+13 3.41936e+13
3 2 7 2.16247e+06 6.81540e+12 6.80303e+12 4.14529e+13 3.62465e+13
3 3 0 2.02733e+06 5.88175e+12 5.87790e+12 3.16604e+13 3.47657e+13
3 3 1 2.09160e+06 6.28060e+12 6.27624e+12 3.50789e+13 3.48572e+13
3 3 2 2.01641e+06 5.78246e+12 5.78083e+12 3.18838e+13 3.39667e+13
3 3 3 2.04398e+06 5.95975e+12 5.95846e+12 3.32192e+13 3.40471e+13
3 3 4 2.09534e+06 6.33723e+12 6.33326e+12 3.50018e+13 3.47016e+13
3 3 5 2.12780e+06 6.55825e+12 6.55283e+12 3.56119e+13 3.48638e+13
3 3 6 2.15114e+06 6.73479e+12 6.72714e+12 3.71525e+13 3.54152e+13
3 3 7 2.02349e+06 5.80776e+12 5.80429e+12 3.13095e+13 3.47341e+13
3 4 0 2.10654e+06 6.40971e+12 6.40417e+12 3.56378e+13 3.49623e+13
