# k[h/Mpc]   Q1   Q2    Q3    Q5    Q8     Qs2    
# 
2.7811e-04 2.1980e-05 -5.2742e-06 8.3684e-06 8.3527e-06 6.3661e-02 1.2726e-01
2.8069e-04 2.2796e-05 -5.4682e-06 8.6805e-06 8.6641e-06 6.4845e-02 1.2962e-01
2.8329e-04 2.3644e-05 -5.6693e-06 9.0043e-06 8.9871e-06 6.6051e-02 1.3203e-01
2.8591e-04 2.4522e-05 -5.8778e-06 9.3402e-06 9.3221e-06 6.7280e-02 1.3449e-01
2.8856e-04 2.5433e-05 -6.0939e-06 9.6885e-06 9.6696e-06 6.8531e-02 1.3699e-01
2.9123e-04 2.6378e-05 -6.3179e-06 1.0050e-05 1.0030e-05 6.9806e-02 1.3953e-01
2.9392e-04 2.7358e-05 -6.5501e-06 1.0425e-05 1.0404e-05 7.1104e-02 1.4213e-01
2.9664e-04 2.8374e-05 -6.7908e-06 1.0813e-05 1.0791e-05 7.2427e-02 1.4477e-01
2.9939e-04 2.9427e-05 -7.0403e-06 1.1217e-05 1.1194e-05 7.3774e-02 1.4746e-01
3.0216e-04 3.0520e-05 -7.2989e-06 1.1635e-05 1.1611e-05 7.5146e-02 1.5020e-01
3.0496e-04 3.1654e-05 -7.5669e-06 1.2069e-05 1.2043e-05 7.6543e-02 1.5299e-01
3.0778e-04 3.2829e-05 -7.8448e-06 1.2519e-05 1.2492e-05 7.7967e-02 1.5583e-01
3.1063e-04 3.4047e-05 -8.1328e-06 1.2985e-05 1.2957e-05 7.9417e-02 1.5873e-01
3.1351e-04 3.5311e-05 -8.4313e-06 1.3469e-05 1.3440e-05 8.0894e-02 1.6168e-01
3.1641e-04 3.6622e-05 -8.7406e-06 1.3971e-05 1.3941e-05 8.2398e-02 1.6469e-01
3.1934e-04 3.7981e-05 -9.0613e-06 1.4492e-05 1.4460e-05 8.3931e-02 1.6775e-01
3.2230e-04 3.9390e-05 -9.3937e-06 1.5032e-05 1.4998e-05 8.5492e-02 1.7087e-01
3.2528e-04 4.0852e-05 -9.7382e-06 1.5592e-05 1.5557e-05 8.7082e-02 1.7404e-01
3.2829e-04 4.2368e-05 -1.0095e-05 1.6174e-05 1.6136e-05 8.8701e-02 1.7728e-01
3.3133e-04 4.3939e-05 -1.0465e-05 1.6776e-05 1.6737e-05 9.0351e-02 1.8057e-01
3.3440e-04 4.5569e-05 -1.0849e-05 1.7401e-05 1.7360e-05 9.2031e-02 1.8393e-01
3.3749e-04 4.7259e-05 -1.1246e-05 1.8050e-05 1.8007e-05 9.3743e-02 1.8734e-01
3.4062e-04 4.9012e-05 -1.1658e-05 1.8722e-05 1.8677e-05 9.5486e-02 1.9083e-01
3.4377e-04 5.0830e-05 -1.2085e-05 1.9420e-05 1.9372e-05 9.7262e-02 1.9437e-01
3.4695e-04 5.2714e-05 -1.2528e-05 2.0143e-05 2.0093e-05 9.9071e-02 1.9798e-01
3.5016e-04 5.4668e-05 -1.2987e-05 2.0893e-05 2.0841e-05 1.0091e-01 2.0166e-01
3.5341e-04 5.6695e-05 -1.3462e-05 2.1672e-05 2.1617e-05 1.0279e-01 2.0541e-01
3.5668e-04 5.8796e-05 -1.3954e-05 2.2479e-05 2.2421e-05 1.0470e-01 2.0923e-01
3.5998e-04 6.0976e-05 -1.4465e-05 2.3316e-05 2.3255e-05 1.0665e-01 2.1311e-01
3.6331e-04 6.3235e-05 -1.4994e-05 2.4184e-05 2.4121e-05 1.0863e-01 2.1707e-01
3.6668e-04 6.5578e-05 -1.5542e-05 2.5085e-05 2.5018e-05 1.1065e-01 2.2111e-01
3.7007e-04 6.8008e-05 -1.6111e-05 2.6019e-05 2.5949e-05 1.1271e-01 2.2522e-01
3.7350e-04 7.0527e-05 -1.6699e-05 2.6987e-05 2.6914e-05 1.1481e-01 2.2940e-01
3.7695e-04 7.3139e-05 -1.7310e-05 2.7992e-05 2.7915e-05 1.1694e-01 2.3366e-01
3.8044e-04 7.5848e-05 -1.7942e-05 2.9034e-05 2.8953e-05 1.1912e-01 2.3800e-01
3.8397e-04 7.8657e-05 -1.8597e-05 3.0115e-05 3.0030e-05 1.2133e-01 2.4243e-01
3.8752e-04 8.1569e-05 -1.9276e-05 3.1236e-05 3.1147e-05 1.2359e-01 2.4693e-01
3.9111e-04 8.4589e-05 -1.9980e-05 3.2398e-05 3.2305e-05 1.2589e-01 2.5152e-01
3.9473e-04 8.7720e-05 -2.0709e-05 3.3604e-05 3.3506e-05 1.2823e-01 2.5619e-01
3.9838e-04 9.0967e-05 -2.1465e-05 3.4855e-05 3.4751e-05 1.3061e-01 2.6095e-01
4.0207e-04 9.4334e-05 -2.2248e-05 3.6152e-05 3.6043e-05 1.3304e-01 2.6580e-01
4.0579e-04 9.7824e-05 -2.3059e-05 3.7497e-05 3.7383e-05 1.3551e-01 2.7074e-01
4.0955e-04 1.0144e-04 -2.3900e-05 3.8892e-05 3.8772e-05 1.3803e-01 2.7577e-01
4.1334e-04 1.0520e-04 -2.4771e-05 4.0339e-05 4.0213e-05 1.4060e-01 2.8089e-01
4.1717e-04 1.0909e-04 -2.5674e-05 4.1839e-05 4.1707e-05 1.4322e-01 2.8611e-01
4.2103e-04 1.1312e-04 -2.6609e-05 4.3396e-05 4.3257e-05 1.4588e-01 2.9142e-01
4.2493e-04 1.1731e-04 -2.7578e-05 4.5010e-05 4.4864e-05 1.4859e-01 2.9683e-01
4.2886e-04 1.2164e-04 -2.8582e-05 4.6684e-05 4.6531e-05 1.5136e-01 3.0235e-01
4.3283e-04 1.2614e-04 -2.9622e-05 4.8420e-05 4.8259e-05 1.5417e-01 3.0796e-01
4.3684e-04 1.3080e-04 -3.0700e-05 5.0220e-05 5.0052e-05 1.5704e-01 3.1368e-01
4.4088e-04 1.3564e-04 -3.1817e-05 5.2088e-05 5.1911e-05 1.5996e-01 3.1951e-01
4.4496e-04 1.4065e-04 -3.2974e-05 5.4024e-05 5.3838e-05 1.6293e-01 3.2544e-01
4.4908e-04 1.4585e-04 -3.4173e-05 5.6033e-05 5.5837e-05 1.6596e-01 3.3149e-01
4.5324e-04 1.5124e-04 -3.5415e-05 5.8115e-05 5.7910e-05 1.6905e-01 3.3764e-01
4.5744e-04 1.5682e-04 -3.6702e-05 6.0276e-05 6.0060e-05 1.7219e-01 3.4391e-01
4.6167e-04 1.6261e-04 -3.8035e-05 6.2516e-05 6.2290e-05 1.7539e-01 3.5030e-01
4.6594e-04 1.6862e-04 -3.9417e-05 6.4839e-05 6.4602e-05 1.7865e-01 3.5680e-01
