# k[h/Mpc]   R1   R2 
# 
1.3570e-03 5.8611e-01 -1.4552e-01
1.3695e-03 6.0204e-01 -1.4946e-01
1.3822e-03 6.1839e-01 -1.5350e-01
1.3950e-03 6.3518e-01 -1.5765e-01
1.4079e-03 6.5243e-01 -1.6192e-01
1.4209e-03 6.7013e-01 -1.6629e-01
1.4341e-03 6.8832e-01 -1.7079e-01
1.4474e-03 7.0699e-01 -1.7540e-01
1.4608e-03 7.2616e-01 -1.8013e-01
1.4743e-03 7.4584e-01 -1.8500e-01
1.4879e-03 7.6605e-01 -1.8999e-01
1.5017e-03 7.8679e-01 -1.9511e-01
1.5156e-03 8.0809e-01 -2.0036e-01
1.5297e-03 8.2995e-01 -2.0576e-01
1.5438e-03 8.5240e-01 -2.1130e-01
1.5581e-03 8.7545e-01 -2.1699e-01
1.5725e-03 8.9912e-01 -2.2283e-01
1.5871e-03 9.2343e-01 -2.2882e-01
1.6018e-03 9.4838e-01 -2.3497e-01
1.6166e-03 9.7401e-01 -2.4129e-01
1.6316e-03 1.0003e+00 -2.4778e-01
1.6467e-03 1.0273e+00 -2.5444e-01
1.6619e-03 1.0551e+00 -2.6127e-01
1.6773e-03 1.0835e+00 -2.6828e-01
1.6928e-03 1.1128e+00 -2.7548e-01
1.7085e-03 1.1428e+00 -2.8287e-01
1.7243e-03 1.1736e+00 -2.9045e-01
1.7403e-03 1.2052e+00 -2.9822e-01
1.7564e-03 1.2376e+00 -3.0621e-01
1.7727e-03 1.2709e+00 -3.1440e-01
1.7891e-03 1.3051e+00 -3.2281e-01
1.8056e-03 1.3402e+00 -3.3144e-01
1.8223e-03 1.3762e+00 -3.4029e-01
1.8392e-03 1.4132e+00 -3.4938e-01
1.8562e-03 1.4512e+00 -3.5871e-01
1.8734e-03 1.4901e+00 -3.6828e-01
1.8908e-03 1.5301e+00 -3.7811e-01
1.9083e-03 1.5712e+00 -3.8819e-01
1.9259e-03 1.6133e+00 -3.9853e-01
1.9438e-03 1.6566e+00 -4.0914e-01
1.9618e-03 1.7010e+00 -4.2003e-01
1.9799e-03 1.7465e+00 -4.3120e-01
1.9983e-03 1.7933e+00 -4.4267e-01
2.0168e-03 1.8412e+00 -4.5443e-01
2.0354e-03 1.8905e+00 -4.6649e-01
2.0543e-03 1.9410e+00 -4.7887e-01
2.0733e-03 1.9928e+00 -4.9157e-01
2.0925e-03 2.0461e+00 -5.0460e-01
2.1118e-03 2.1007e+00 -5.1797e-01
2.1314e-03 2.1567e+00 -5.3169e-01
2.1511e-03 2.2143e+00 -5.4576e-01
2.1710e-03 2.2733e+00 -5.6020e-01
2.1911e-03 2.3339e+00 -5.7501e-01
2.2114e-03 2.3960e+00 -5.9020e-01
2.2319e-03 2.4598e+00 -6.0579e-01
2.2526e-03 2.5252e+00 -6.2177e-01
2.2734e-03 2.5924e+00 -6.3817e-01
2.2945e-03 2.6613e+00 -6.5499e-01
2.3157e-03 2.7320e+00 -6.7224e-01
2.3371e-03 2.8045e+00 -6.8993e-01
2.3588e-03 2.8790e+00 -7.0808e-01
2.3806e-03 2.9553e+00 -7.2669e-01
2.4026e-03 3.0336e+00 -7.4578e-01
2.4249e-03 3.1140e+00 -7.6536e-01
2.4473e-03 3.1964e+00 -7.8543e-01
2.4700e-03 3.2810e+00 -8.0602e-01
2.4929e-03 3.3678e+00 -8.2713e-01
2.5159e-03 3.4568e+00 -8.4878e-01
2.5392e-03 3.5481e+00 -8.7098e-01
2.5627e-03 3.6417e+00 -8.9374e-01
2.5865e-03 3.7378e+00 -9.1708e-01
2.6104e-03 3.8363e+00 -9.4101e-01
2.6346e-03 3.9374e+00 -9.6555e-01
2.6590e-03 4.0411e+00 -9.9071e-01
2.6836e-03 4.1474e+00 -1.0165e+00
2.7084e-03 4.2565e+00 -1.0430e+00
2.7335e-03 4.3684e+00 -1.0701e+00
2.7588e-03 4.4831e+00 -1.0979e+00
2.7843e-03 4.6008e+00 -1.1264e+00
2.8101e-03 4.7215e+00 -1.1556e+00
2.8361e-03 4.8453e+00 -1.1855e+00
2.8624e-03 4.9722e+00 -1.2162e+00
2.8889e-03 5.1023e+00 -1.2477e+00
2.9156e-03 5.2358e+00 -1.2799e+00
2.9426e-03 5.3727e+00 -1.3130e+00
2.9699e-03 5.5130e+00 -1.3468e+00
2.9974e-03 5.6569e+00 -1.3816e+00
3.0251e-03 5.8044e+00 -1.4171e+00
3.0531e-03 5.9557e+00 -1.4536e+00
3.0814e-03 6.1108e+00 -1.4910e+00
3.1099e-03 6.2698e+00 -1.5293e+00
3.1387e-03 6.4329e+00 -1.5685e+00
3.1677e-03 6.6000e+00 -1.6087e+00
3.1971e-03 6.7714e+00 -1.6499e+00
3.2267e-03 6.9471e+00 -1.6921e+00
3.2565e-03 7.1272e+00 -1.7354e+00
3.2867e-03 7.3119e+00 -1.7797e+00
3.3171e-03 7.5011e+00 -1.8251e+00
3.3478e-03 7.6951e+00 -1.8716e+00
3.3788e-03 7.8940e+00 -1.9193e+00
3.4101e-03 8.0978e+00 -1.9681e+00
3.4417e-03 8.3068e+00 -2.0181e+00
3.4735e-03 8.5208e+00 -2.0693e+00
3.5057e-03 8.7403e+00 -2.1218e+00
3.5381e-03 8.9652e+00 -2.1755e+00
3.5709e-03 9.1957e+00 -2.2306e+00
3.6039e-03 9.4319e+00 -2.2870e+00
3.6373e-03 9.6741e+00 -2.3447e+00
3.6710e-03 9.9221e+00 -2.4038e+00
3.7050e-03 1.0176e+01 -2.4644e+00
3.7393e-03 1.0437e+01 -2.5264e+00
3.7739e-03 1.0704e+01 -2.5899e+00
3.8088e-03 1.0977e+01 -2.6549e+00
3.8441e-03 1.1257e+01 -2.7215e+00
3.8797e-03 1.1544e+01 -2.7896e+00
3.9156e-03 1.1838e+01 -2.8594e+00
3.9518e-03 1.2140e+01 -2.9308e+00
3.9884e-03 1.2448e+01 -3.0039e+00
4.0253e-03 1.2764e+01 -3.0788e+00
4.0626e-03 1.3088e+01 -3.1554e+00
4.1002e-03 1.3420e+01 -3.2339e+00
4.1382e-03 1.3760e+01 -3.3142e+00
4.1765e-03 1.4108e+01 -3.3964e+00
4.2151e-03 1.4465e+01 -3.4805e+00
4.2542e-03 1.4830e+01 -3.5665e+00
4.2935e-03 1.5204e+01 -3.6546e+00
4.3333e-03 1.5587e+01 -3.7447e+00
4.3734e-03 1.5979e+01 -3.8369e+00
4.4139e-03 1.6380e+01 -3.9312e+00
4.4548e-03 1.6791e+01 -4.0277e+00
4.4960e-03 1.7212e+01 -4.1265e+00
4.5376e-03 1.7643e+01 -4.2276e+00
4.5796e-03 1.8085e+01 -4.3310e+00
4.6220e-03 1.8537e+01 -4.4368e+00
4.6648e-03 1.9000e+01 -4.5451e+00
4.7080e-03 1.9474e+01 -4.6559e+00
4.7516e-03 1.9960e+01 -4.7692e+00
4.7956e-03 2.0457e+01 -4.8850e+00
4.8400e-03 2.0965e+01 -5.0034e+00
4.8848e-03 2.1485e+01 -5.1244e+00
4.9300e-03 2.2016e+01 -5.2480e+00
4.9756e-03 2.2560e+01 -5.3745e+00
5.0217e-03 2.3118e+01 -5.5040e+00
5.0682e-03 2.3689e+01 -5.6363e+00
5.1151e-03 2.4273e+01 -5.7716e+00
5.1625e-03 2.4870e+01 -5.9099e+00
5.2102e-03 2.5482e+01 -6.0512e+00
5.2585e-03 2.6108e+01 -6.1958e+00
5.3072e-03 2.6747e+01 -6.3435e+00
5.3563e-03 2.7403e+01 -6.4945e+00
5.4059e-03 2.8073e+01 -6.6488e+00
5.4559e-03 2.8758e+01 -6.8065e+00
5.5064e-03 2.9459e+01 -6.9676e+00
5.5574e-03 3.0177e+01 -7.1323e+00
5.6089e-03 3.0911e+01 -7.3006e+00
5.6608e-03 3.1661e+01 -7.4725e+00
5.7132e-03 3.2429e+01 -7.6482e+00
5.7661e-03 3.3214e+01 -7.8276e+00
5.8195e-03 3.4016e+01 -8.0109e+00
5.8733e-03 3.4837e+01 -8.1979e+00
5.9277e-03 3.5677e+01 -8.3893e+00
5.9826e-03 3.6535e+01 -8.5846e+00
6.0380e-03 3.7413e+01 -8.7840e+00
6.0939e-03 3.8310e+01 -8.9877e+00
6.1503e-03 3.9227e+01 -9.1955e+00
6.2072e-03 4.0166e+01 -9.4080e+00
6.2647e-03 4.1124e+01 -9.6247e+00
6.3227e-03 4.2103e+01 -9.8459e+00
6.3812e-03 4.3106e+01 -1.0072e+01
6.4403e-03 4.4129e+01 -1.0302e+01
6.4999e-03 4.5176e+01 -1.0538e+01
6.5601e-03 4.6245e+01 -1.0778e+01
6.6208e-03 4.7337e+01 -1.1023e+01
6.6821e-03 4.8453e+01 -1.1273e+01
6.7440e-03 4.9593e+01 -1.1529e+01
6.8064e-03 5.0759e+01 -1.1789e+01
6.8694e-03 5.1950e+01 -1.2055e+01
6.9330e-03 5.3167e+01 -1.2326e+01
6.9972e-03 5.4410e+01 -1.2603e+01
7.0619e-03 5.5679e+01 -1.2885e+01
7.1273e-03 5.6974e+01 -1.3172e+01
7.1933e-03 5.8299e+01 -1.3466e+01
7.2599e-03 5.9650e+01 -1.3765e+01
7.3271e-03 6.1031e+01 -1.4070e+01
7.3949e-03 6.2441e+01 -1.4381e+01
7.4634e-03 6.3880e+01 -1.4698e+01
7.5325e-03 6.5350e+01 -1.5021e+01
7.6022e-03 6.6851e+01 -1.5351e+01
7.6726e-03 6.8383e+01 -1.5686e+01
7.7436e-03 6.9945e+01 -1.6028e+01
7.8153e-03 7.1541e+01 -1.6377e+01
7.8877e-03 7.3170e+01 -1.6732e+01
7.9607e-03 7.4833e+01 -1.7095e+01
8.0344e-03 7.6529e+01 -1.7463e+01
8.1088e-03 7.8260e+01 -1.7839e+01
8.1838e-03 8.0026e+01 -1.8222e+01
8.2596e-03 8.1827e+01 -1.8611e+01
8.3361e-03 8.3666e+01 -1.9009e+01
8.4132e-03 8.5540e+01 -1.9412e+01
8.4911e-03 8.7454e+01 -1.9824e+01
8.5697e-03 8.9403e+01 -2.0243e+01
8.6491e-03 9.1392e+01 -2.0669e+01
8.7291e-03 9.3422e+01 -2.1104e+01
8.8099e-03 9.5490e+01 -2.1546e+01
8.8915e-03 9.7600e+01 -2.1995e+01
8.9738e-03 9.9749e+01 -2.2453e+01
9.0569e-03 1.0194e+02 -2.2919e+01
9.1407e-03 1.0418e+02 -2.3392e+01
9.2253e-03 1.0645e+02 -2.3874e+01
9.3107e-03 1.0878e+02 -2.4364e+01
9.3969e-03 1.1114e+02 -2.4863e+01
9.4839e-03 1.1355e+02 -2.5370e+01
9.5717e-03 1.1601e+02 -2.5885e+01
9.6603e-03 1.1851e+02 -2.6408e+01
9.7498e-03 1.2106e+02 -2.6941e+01
9.8400e-03 1.2365e+02 -2.7483e+01
9.9311e-03 1.2630e+02 -2.8033e+01
1.0023e-02 1.2899e+02 -2.8592e+01
1.0116e-02 1.3173e+02 -2.9161e+01
1.0210e-02 1.3453e+02 -2.9738e+01
1.0304e-02 1.3737e+02 -3.0324e+01
1.0399e-02 1.4026e+02 -3.0919e+01
1.0496e-02 1.4321e+02 -3.1525e+01
1.0593e-02 1.4620e+02 -3.2138e+01
1.0691e-02 1.4926e+02 -3.2762e+01
1.0790e-02 1.5236e+02 -3.3395e+01
1.0890e-02 1.5552e+02 -3.4038e+01
1.0991e-02 1.5874e+02 -3.4690e+01
1.1092e-02 1.6200e+02 -3.5352e+01
1.1195e-02 1.6533e+02 -3.6023e+01
1.1299e-02 1.6871e+02 -3.6704e+01
1.1403e-02 1.7215e+02 -3.7395e+01
1.1509e-02 1.7564e+02 -3.8095e+01
1.1615e-02 1.7920e+02 -3.8807e+01
1.1723e-02 1.8281e+02 -3.9527e+01
1.1831e-02 1.8649e+02 -4.0258e+01
1.1941e-02 1.9022e+02 -4.0998e+01
1.2051e-02 1.9402e+02 -4.1748e+01
1.2163e-02 1.9787e+02 -4.2508e+01
1.2276e-02 2.0179e+02 -4.3278e+01
1.2389e-02 2.0576e+02 -4.4058e+01
1.2504e-02 2.0980e+02 -4.4849e+01
1.2620e-02 2.1390e+02 -4.5649e+01
1.2737e-02 2.1807e+02 -4.6459e+01
1.2854e-02 2.2230e+02 -4.7279e+01
1.2973e-02 2.2659e+02 -4.8109e+01
1.3094e-02 2.3095e+02 -4.8949e+01
1.3215e-02 2.3537e+02 -4.9799e+01
1.3337e-02 2.3986e+02 -5.0659e+01
1.3461e-02 2.4441e+02 -5.1529e+01
1.3585e-02 2.4903e+02 -5.2407e+01
1.3711e-02 2.5371e+02 -5.3297e+01
1.3838e-02 2.5846e+02 -5.4195e+01
1.3966e-02 2.6328e+02 -5.5104e+01
1.4095e-02 2.6816e+02 -5.6022e+01
1.4226e-02 2.7311e+02 -5.6948e+01
1.4357e-02 2.7812e+02 -5.7884e+01
